Time [s],Packet ID,MOSI,MISO
5.657913780,85,0x88,0x00
5.657915740,85,0x96,0x00
5.657917720,85,0x80,0x20
5.658524420,86,0x0B,0x04
5.658529740,86,0x70,0x70
5.658535460,87,0x83,0x04
5.658540760,87,0x80,0x20
5.658546620,88,0x03,0x04
5.658551920,88,0x30,0x20
6.146912920,90,0x83,0x05
6.146918220,90,0x80,0x30
6.146924060,91,0x03,0x05
6.146929360,91,0x20,0x30
6.146941460,92,0x80,0x05
6.146943420,92,0x85,0x88
6.146945400,92,0x86,0x00
6.146947360,92,0x87,0x00
6.146949340,92,0x88,0x00
6.146951320,92,0x96,0x00
6.146953300,92,0x80,0x20
6.147979100,93,0x80,0x04
6.147981100,93,0x85,0x88
6.147983100,93,0x86,0x00
6.147985100,93,0x87,0x00
6.147987100,93,0x88,0x00
6.147989100,93,0x96,0x00
6.147991100,93,0x80,0x20
6.148562700,94,0x0B,0x04
6.148568000,94,0x70,0x70
6.148573720,95,0x83,0x04
6.148579040,95,0x80,0x20
6.148584880,96,0x03,0x04
6.148590180,96,0x30,0x20
6.636912520,98,0x83,0x05
6.636917820,98,0x80,0x30
6.636923660,99,0x03,0x05
6.636928960,99,0x20,0x30
6.636941060,100,0x80,0x05
6.636943020,100,0x85,0x88
6.636945000,100,0x86,0x00
6.636946960,100,0x87,0x00
6.636948940,100,0x88,0x00
6.636950900,100,0x96,0x00
6.636952880,100,0x80,0x20
6.637559520,101,0x0B,0x05
6.637564820,101,0x70,0x70
6.637570540,102,0x83,0x05
6.637575840,102,0x80,0x20
6.637581700,103,0x03,0x05
6.637587000,103,0x30,0x20
7.125942080,105,0x83,0x05
7.125947380,105,0x80,0x30
7.125953220,106,0x03,0x05
7.125958520,106,0x20,0x30
7.125970580,107,0x80,0x05
7.125972560,107,0x85,0x88
7.125974520,107,0x86,0x00
7.125976500,107,0x87,0x00
7.125978460,107,0x88,0x00
7.125980440,107,0x96,0x00
7.125982400,107,0x80,0x20
7.127008700,108,0x80,0x04
7.127010700,108,0x85,0x88
7.127012700,108,0x86,0x00
7.127014700,108,0x87,0x00
7.127016700,108,0x88,0x00
7.127018700,108,0x96,0x00
7.127020700,108,0x80,0x20
7.127591300,109,0x0B,0x04
7.127596580,109,0x70,0x70
7.127602320,110,0x83,0x04
7.127607620,110,0x80,0x20
7.127613480,111,0x03,0x04
7.127618760,111,0x30,0x20
7.615949960,113,0x83,0x05
7.615955260,113,0x80,0x30
7.615961120,114,0x03,0x05
7.615966420,114,0x20,0x30
7.615978500,115,0x80,0x05
7.615980480,115,0x85,0x88
7.615982440,115,0x86,0x00
7.615984420,115,0x87,0x00
7.615986400,115,0x88,0x00
7.615988360,115,0x96,0x00
7.615990340,115,0x80,0x20
7.616597380,116,0x0B,0x04
7.616602680,116,0x70,0x70
7.616608420,117,0x83,0x04
7.616613720,117,0x80,0x20
7.616619580,118,0x03,0x04
7.616624900,118,0x30,0x20
8.104982200,120,0x83,0x05
8.104987500,120,0x80,0x30
8.104993360,121,0x03,0x05
8.104998660,121,0x20,0x30
8.105010740,122,0x80,0x05
8.105012700,122,0x85,0x88
8.105014680,122,0x86,0x00
8.105016660,122,0x87,0x00
8.105018620,122,0x88,0x00
8.105020600,122,0x96,0x00
8.105022580,122,0x80,0x20
8.106049000,123,0x80,0x04
8.106051000,123,0x85,0x88
8.106053000,123,0x86,0x00
8.106055000,123,0x87,0x00
8.106057000,123,0x88,0x00
8.106059000,123,0x96,0x00
8.106061000,123,0x80,0x20
8.106632640,124,0x0B,0x04
8.106637940,124,0x70,0x70
8.106643660,125,0x83,0x04
8.106648980,125,0x80,0x20
8.106654820,126,0x03,0x04
8.106660120,126,0x30,0x20
8.594977620,128,0x83,0x05
8.594982920,128,0x80,0x30
8.594988760,129,0x03,0x05
8.594994080,129,0x20,0x30
8.595006160,130,0x80,0x05
8.595008120,130,0x85,0x88
8.595010100,130,0x86,0x00
8.595012060,130,0x87,0x00
8.595014040,130,0x88,0x00
8.595016020,130,0x96,0x00
8.595017980,130,0x80,0x20
8.595624920,131,0x0B,0x04
8.595630220,131,0x70,0x70
8.595635960,132,0x83,0x04
8.595641260,132,0x80,0x20
8.595647120,133,0x03,0x04
8.595652420,133,0x30,0x20
9.083996400,135,0x83,0x05
9.084001700,135,0x80,0x30
9.084007540,136,0x03,0x05
9.084012840,136,0x20,0x30
9.084024920,137,0x80,0x05
9.084026900,137,0x85,0x88
9.084028860,137,0x86,0x00
9.084030840,137,0x87,0x00
9.084032800,137,0x88,0x00
9.084034780,137,0x96,0x00
9.084036760,137,0x80,0x20
9.085062420,138,0x80,0x04
9.085064420,138,0x85,0x88
9.085066420,138,0x86,0x00
9.085068420,138,0x87,0x00
9.085070420,138,0x88,0x00
9.085072420,138,0x96,0x00
9.085074420,138,0x80,0x20
9.085645860,139,0x0B,0x04
9.085651160,139,0x70,0x70
9.085656880,140,0x83,0x04
9.085662180,140,0x80,0x20
9.085668040,141,0x03,0x04
9.085673340,141,0x30,0x20
9.573992680,143,0x83,0x05
9.573997980,143,0x80,0x30
9.574003820,144,0x03,0x05
9.574009120,144,0x20,0x30
9.574021200,145,0x80,0x05
9.574023180,145,0x85,0x88
9.574025140,145,0x86,0x00
9.574027120,145,0x87,0x00
9.574029080,145,0x88,0x00
9.574031060,145,0x96,0x00
9.574033040,145,0x80,0x20
9.574639340,146,0x0B,0x04
9.574644640,146,0x70,0x70
9.574650360,147,0x83,0x04
9.574655640,147,0x80,0x20
9.574661500,148,0x03,0x04
9.574666800,148,0x30,0x20
