Time[s], Channel 0, Channel 1, Channel 2, Channel 3, button 5 (dpi)
-0.00138084, 1, 0, 1, 0, 1
-0.00138072, 0, 0, 1, 0, 1
-0.00138058, 1, 0, 1, 0, 1
-0.00138046, 0, 0, 1, 0, 1
-0.00138044, 0, 0, 0, 0, 1
-0.00138034, 1, 0, 0, 0, 1
-0.00138022, 0, 0, 0, 0, 1
-0.00138008, 1, 0, 0, 0, 1
-0.00137996, 0, 0, 0, 0, 1
-0.00137984, 1, 0, 0, 0, 1
-0.00137972, 0, 0, 0, 0, 1
-0.00137968, 0, 0, 1, 0, 1
-0.00137958, 1, 0, 1, 0, 1
-0.00137946, 0, 0, 1, 0, 1
-0.00137944, 0, 0, 0, 0, 1
-0.00137934, 1, 0, 0, 0, 1
-0.00137920, 0, 0, 0, 0, 1
-0.00137908, 1, 0, 0, 0, 1
-0.00137896, 0, 0, 0, 0, 1
-0.00137884, 1, 0, 0, 0, 1
-0.00137870, 0, 0, 0, 0, 1
-0.00137868, 0, 0, 1, 0, 1
-0.00137858, 1, 0, 1, 0, 1
-0.00137846, 0, 0, 1, 0, 1
-0.00137844, 0, 0, 0, 0, 1
-0.00137834, 1, 0, 0, 0, 1
-0.00137820, 0, 0, 0, 0, 1
-0.00137808, 1, 0, 0, 0, 1
-0.00137796, 0, 0, 0, 0, 1
-0.00137794, 0, 0, 1, 0, 1
-0.00137784, 1, 0, 1, 0, 1
-0.00137770, 0, 0, 1, 0, 1
-0.00137768, 0, 0, 0, 0, 1
-0.00137758, 1, 0, 0, 0, 1
-0.00137746, 0, 0, 0, 0, 1
-0.00137744, 0, 0, 1, 0, 1
-0.00137734, 1, 0, 1, 0, 1
-0.00137720, 0, 0, 1, 0, 1
-0.00137708, 1, 0, 1, 0, 1
-0.00137696, 0, 0, 1, 0, 1
-0.00137694, 0, 0, 0, 0, 1
-0.00137684, 1, 0, 0, 0, 1
-0.00137670, 0, 0, 0, 0, 1
-0.00137668, 0, 0, 1, 0, 1
-0.00137658, 1, 0, 1, 0, 1
-0.00137646, 0, 0, 1, 0, 1
-0.00137644, 0, 0, 0, 0, 1
-0.00137634, 1, 0, 0, 0, 1
-0.00137620, 0, 1, 0, 0, 1
-0.00137608, 1, 1, 0, 0, 1
-0.00137596, 0, 1, 0, 0, 1
-0.00137594, 0, 0, 0, 0, 1
-0.00137584, 1, 0, 0, 0, 1
-0.00137570, 0, 0, 0, 0, 1
-0.00137558, 1, 0, 0, 0, 1
-0.00137546, 0, 0, 0, 0, 1
-0.00137534, 1, 0, 0, 0, 1
-0.00137520, 0, 0, 0, 0, 1
-0.00137508, 1, 0, 0, 0, 1
-0.00137496, 0, 0, 0, 0, 1
-0.00137484, 1, 0, 0, 0, 1
-0.00137294, 1, 0, 0, 1, 1
-0.00039126, 1, 0, 0, 0, 1
